buy_month	sell_month	pints_purchased	expected_profit
2026-07-01	2026-12-01	257743.0301988917	144997.6373555565
2026-06-01	2026-12-01	249304.02626002408	107508.206257531
2026-08-01	2026-12-01	246548.3234714004	95266.27218934913
2026-09-01	2026-12-01	242777.3731488225	78514.20247632907
2026-07-01	2026-11-01	264561.92953833943	48189.07359230995
2026-10-01	2026-12-01	233415.8069184445	36926.380654497894
2026-05-01	2026-12-01	229375.33450569617	18976.986008104646
2026-06-01	2026-11-01	255678.18638939786	12991.860911066444
2026-08-01	2026-11-01	252780.58645096055	1511.627906976544
2026-09-01	2026-11-01	248818.1139586962	-14187.608857924984
2026-07-01	2026-10-01	271751.4380180261	-50016.75800534457
2026-10-01	2026-11-01	238994.31193537597	-53109.31599827927
2026-11-01	2026-12-01	212666.41146697293	-55250.73369911943
2026-03-01	2026-12-01	210777.7699711937	-63640.83467996909
2026-05-01	2026-11-01	234760.15337663353	-69884.9675248456
2026-04-01	2026-12-01	208246.5639316951	-74885.46438983764
2026-06-01	2026-10-01	262386.8456728036	-82753.31263392667
2026-07-01	2026-09-01	279342.6137157223	-90153.17286652076
2026-08-01	2026-10-01	259336.0995850622	-93418.04979253122
2026-07-01	2026-08-01	287370.084774175	-106164.08831840617
2026-09-01	2026-10-01	255167.13447307984	-107991.834651697
2026-06-01	2026-09-01	269457.0440562267	-122351.46180446404
2026-03-01	2026-04-01	253528.26840192682	-132476.97118228654
2026-08-01	2026-09-01	266240.6815761448	-132827.47603833862
2026-06-01	2026-08-01	276918.8166335902	-138671.712742881
2026-03-01	2026-11-01	215316.15588889687	-146921.6966913084
2026-04-01	2026-11-01	212675.45725223306	-157384.09187579778
2026-05-01	2026-10-01	240403.87851590675	-159600.92956166356
2026-02-01	2026-12-01	188058.29807240245	-164569.81664315934
2026-06-01	2026-07-01	284805.62016423786	-184929.0359329758
2026-05-01	2026-09-01	246325.64249938418	-197692.7498152557
2026-05-01	2026-08-01	252546.5106490445	-214479.33327721202
2026-03-01	2026-05-01	247259.5400972554	-230107.96999917575
2026-01-01	2026-02-01	207684.31983385255	-230373.8317757009
2026-03-01	2026-10-01	220054.28005574708	-230738.64886672047
2026-05-01	2026-06-01	265981.026686763	-231301.53382392062
2026-01-01	2026-12-01	171969.0455717971	-236044.71195184859
2026-04-01	2026-10-01	217296.82746631897	-240378.09647979145
2026-02-01	2026-11-01	191662.67369429802	-240636.32007666517
2026-04-01	2026-05-01	243783.52023403216	-240931.253047294
2026-02-01	2026-04-01	221361.37244050912	-242545.65578306562
2026-02-01	2026-03-01	226372.38256932655	-257521.22241086588
2026-05-01	2026-07-01	259089.73141031174	-258524.05216339932
2026-03-01	2026-09-01	225005.62514062854	-267134.1783544587
2026-04-01	2026-09-01	222123.50066637047	-276521.54597956466
2026-03-01	2026-08-01	230184.9152152229	-284032.8397145707
2026-04-01	2026-08-01	227169.46842344385	-293412.08541572036
2026-03-01	2026-06-01	241293.33226091854	-302650.2050993324
2026-01-01	2026-11-01	174978.12773403325	-306740.157480315
2026-04-01	2026-06-01	237981.91337458347	-312220.37125178496
2026-02-01	2026-10-01	195407.91402051784	-316896.9223253542
2026-01-01	2026-04-01	199401.79461615157	-317686.9391824524
2026-02-01	2026-05-01	216567.4066053059	-325674.06605305895
2026-03-01	2026-07-01	235608.26199638733	-325724.49540563894
2026-01-01	2026-03-01	203458.7995930824	-332675.48321464914
2026-04-01	2026-07-01	232450.0232450023	-334762.90097629017
2026-02-01	2026-09-01	199302.44145490782	-350852.0179372197
2026-02-01	2026-08-01	203355.36349771224	-367483.4773767159
2026-01-01	2026-10-01	178094.39002671416	-377421.19323241326
2026-02-01	2026-06-01	211976.68256491784	-387376.78855325916
2026-01-01	2026-05-01	195503.4213098729	-391260.9970674487
2026-02-01	2026-07-01	207576.5438505449	-405947.0679813181
2026-01-01	2026-09-01	181323.66273798732	-409410.69809610146
2026-01-01	2026-08-01	184672.20683287166	-425595.56786703604
2026-01-01	2026-06-01	191754.55417066155	-445819.7507190795
2026-01-01	2026-07-01	188146.75446848542	-461552.2107243649
